"ID","Sex","Year","Name","Count"
"Alaska","Male",1980,"Michael",145
"Alabama","Male",1980,"Christopher",951
"Arkansas","Male",1980,"Michael",597
"Arizona","Male",1980,"Michael",942
"California","Male",1980,"Michael",6907
"Colorado","Male",1980,"Michael",907
"Connecticut","Male",1980,"Michael",1035
"District of Columbia","Male",1980,"Michael",368
"Delaware","Male",1980,"Michael",231
"Florida","Male",1980,"Michael",2486
"Georgia","Male",1980,"James",1446
"Hawaii","Male",1980,"Michael",227
"Iowa","Male",1980,"Joshua",828
"Idaho","Male",1980,"Michael",293
"Illinois","Male",1980,"Michael",3757
"Indiana","Male",1980,"Michael",1642
"Kansas","Male",1980,"Michael",686
"Kentucky","Male",1980,"Jason",1167
"Louisiana","Male",1980,"Michael",1209
"Massachusetts","Male",1980,"Michael",2020
"Maryland","Male",1980,"Michael",1160
"Maine","Male",1980,"Christopher",276
"Michigan","Male",1980,"Michael",3023
"Minnesota","Male",1980,"Michael",1351
"Missouri","Male",1980,"Michael",1481
"Mississippi","Male",1980,"James",721
"Montana","Male",1980,"Joshua",220
"North Carolina","Male",1980,"Christopher",1380
"North Dakota","Male",1980,"Joshua",242
"Nebraska","Male",1980,"Matthew",434
"New Hampshire","Male",1980,"Michael",269
"New Jersey","Male",1980,"Michael",2500
"New Mexico","Male",1980,"Michael",402
"Nevada","Male",1980,"Michael",266
"New York","Male",1980,"Michael",5801
"Ohio","Male",1980,"Michael",3711
"Oklahoma","Male",1980,"Michael",872
"Oregon","Male",1980,"Michael",702
"Pennsylvania","Male",1980,"Michael",4036
"Rhode Island","Male",1980,"Michael",344
"South Carolina","Male",1980,"James",770
"South Dakota","Male",1980,"Michael",213
"Tennessee","Male",1980,"Michael",1307
"Texas","Male",1980,"Michael",4249
"Utah","Male",1980,"Michael",658
"Virginia","Male",1980,"Michael",1433
"Vermont","Male",1980,"Michael",133
"Washington","Male",1980,"Michael",1123
"Wisconsin","Male",1980,"Michael",1436
"West Virginia","Male",1980,"Jason",615
"Wyoming","Male",1980,"Michael",174
